""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"A1BG"	0.0255161124395201	0.996333114283741	0.0190477530239212	0.0816974540007117	0.0533627718458	0.0335662096309341	0.667933990421089	0.580458945617156	0.559799213576407	0.0110380407003165	0.0663943245056351	0.0432762653586602	0.920251697540171	0.855397114115201	0.961825959621558
"A2M"	0.00155604606222689	0.197743798819154	6.30020914911447e-08	0.000857448887665085	0.000834161473097208	0.057198578546525	0.593206246354435	0.84919941231967	0.644993252992225	2.05717023031181e-05	0.0331418800913625	0.0544336486186915	0.299292607377112	0.0874584445381126	0.764866258079972
"A2ML1"	0.306407951972768	0.941360574080668	0.127210342206416	0.835823317972432	5.48910473802789e-06	0.393946352582021	0.99341813696719	0.475710272465991	1.96453542003707e-05	0.130992434577534	0.893500026954436	1.46352367819659e-06	0.363196657181232	3.3231433201931e-09	8.46458167065077e-05
"A4GALT"	0.082460450945438	0.848907904303951	0.321791386034849	0.237975548003634	0.00251118441330523	0.159171972491118	0.0158075861596414	0.578912831471873	0.000133546798306597	0.157000135601371	0.330191235579517	0.000550093413145723	0.0442918900952231	0.0556744622274628	0.00031349350247762
"AAAS"	0.033528728005286	0.614890474630007	4.12359576259359e-07	3.08932504931579e-08	4.66467904433693e-05	0.011109460545583	0.220921475821149	0.0154575568567136	0.507799698469902	1.33554125870539e-09	3.50056486563224e-10	1.09582618141178e-06	0.178423756421411	0.54344441602838	0.0625278785432696
"AACS"	0.1759552302311	0.593937814565004	8.87918128988088e-07	2.12001008904446e-06	0.116517426085665	0.460993961623712	0.0605707612573065	0.0165810718831003	0.890029063498236	6.52576337404175e-06	1.54517333917407e-05	0.383981149953413	0.545746420647887	0.00305131906587471	0.00188573723188793
"AADAC"	0.00310766396100448	0.0852301962097535	0.063254489297663	0.00151970450175862	0.114640412213304	0.170989510611135	0.169251861139208	0.92161868521909	0.147958520646455	0.964049346143902	0.110520828401161	0.846286106689209	0.136824326071483	0.897285227264976	0.12446220183424
"AADAT"	0.0905723317734046	0.0871526725630959	0.105169012392541	0.185417839333425	0.0213482888269179	0.78955466010713	0.681288112260221	0.00759595344268437	0.990818353325336	0.794610121813445	0.00187658479798403	0.666285572886147	0.00748660562928728	0.529550774680362	0.0016188982068063
"AAED1"	0.344229789848114	0.476593897691791	0.117553347403555	0.227568619472562	0.699200076620868	0.789699135037083	0.0423371608028094	0.0601819429456087	0.262306224039826	0.00570846612171483	0.035229764276741	0.186621180702894	0.972091758147922	0.352683998255091	0.49421084068475
"AAGAB"	0.0115519363577819	0.036303852694129	1.51401806208984e-08	0.0216118558546851	1.09720180901441e-06	0.469007093889258	0.181743444709679	0.694068659536106	0.377249734082882	0.000180615115891228	0.697236429485347	0.00468004191054783	0.0202829198332597	0.669716817107938	0.088310892510562
"AAK1"	0.198557197621007	0.227001164651412	0.0767411557216674	0.00171674938179	0.000694026198436995	0.810678355122083	0.0114752012837296	0.000198250350095684	0.365297032806862	0.000393737785231685	7.23056978573933e-06	0.0398353936517735	0.124866523134578	4.82751759764497e-07	1.92984382508452e-08
"AAMDC"	0.00306279704743284	0.0957362242029444	0.000215357219351496	0.793304660344616	0.00024120283970601	0.150810118387409	0.813820529248909	0.00340347229667516	0.89674365788318	0.0600049968107447	0.0546639349330498	0.0574839561670199	0.00109474267413146	0.888316788963959	0.00119863187653318
"AAMP"	0.00367508364690139	0.817932052090104	0.00453139336259909	0.14562563484857	0.132669899056293	0.011754857325428	0.481517080840529	0.176565539464732	0.143678650470823	0.00775337533521091	0.226121715475809	0.235217787791198	0.496207422174619	0.333241655403703	0.916886167639829
"AAR2"	0.38575496585985	0.617056042596671	0.000908710226122523	8.13321602195076e-08	0.0503344067696314	0.198455786255916	0.248699441915198	0.000677969813921144	0.719622900357007	1.55588826391251e-05	1.05766532046626e-09	0.00571221327041111	0.00751648036477162	0.329757679673096	0.000555751933805296
"AARS"	0.0240152709383914	0.0561845008168267	6.57818188053056e-07	0.414067729766928	0.00602523603158025	0.545175566849146	0.302074725251271	0.202750491035452	0.890465549232693	0.00194947332743629	0.402262952292255	0.495022056567996	0.00170734897201288	0.0656864476682266	0.204368292710051
"AARS2"	0.230138766640703	0.053112175986224	0.0508700324138597	0.244821139324175	0.0112113114072463	0.876180319259787	0.953665291140196	0.875669591409052	0.664828986280448	0.870483067295248	0.609661952403789	0.64796560783473	0.762041385033918	0.573991338633088	0.432972621330273
"AARSD1"	0.963981274551975	0.77948737006975	0.368090753573966	0.461163683902367	0.694009693374131	0.801074120703708	0.579070115192768	0.634458530361452	0.859265635056065	0.604755399258913	0.249522784505092	0.419155137459967	0.136819095354444	0.217677488385727	0.772274781944492
"AASDH"	0.038519707231429	0.460593634528908	0.0654367248979822	0.55238815546297	0.00389556304234821	0.213117503435298	0.55370277803826	0.19740679586334	0.974732105700568	0.365491458189955	0.906800281998832	0.0436647829949224	0.458514134514064	0.325638811009828	0.108236039765605
"AASDHPPT"	0.00815517154414132	0.555035690752166	0.133630625369427	0.000317840675561877	0.120347289515449	0.00194963755564608	0.174123853825242	0.750865312636501	0.236113288901113	0.0110395536748413	1.00465558940811e-05	0.0142631871163955	0.0254299898801227	0.916272389613227	0.0505192722022143
"AASS"	0.133404882496649	0.98378805733473	0.008541612699188	0.169788804277137	0.846637825652103	0.168675256693013	0.859299424850146	0.81130524650043	0.255250575000195	0.00511709016354205	0.158785190679697	0.866200566124978	0.54936701536797	0.032675983627492	0.316520147664428
"AATF"	0.0121008015976454	0.725284652989399	3.05375755356318e-05	0.00207068978982135	6.28328470565255e-07	0.0452289224679854	0.786256819697348	0.933073203455176	0.324178031174526	8.23178728298726e-05	0.00578276312934784	2.81938974637589e-06	0.805896760792912	0.331527415588181	0.285852000482103
