""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"A1BG"	0.334960237023966	-0.000803654538846205	0.245450128278763	0.227838781493479	0.218277777001492	-0.335763891562812	-0.0895101087452032	-0.107121455530487	-0.116682460022474	0.246253782817609	0.228642436032325	0.219081431540338	-0.0176113467852843	-0.027172351277271	-0.00956100449198677
"A2M"	0.623087659453535	0.214919983563974	0.766308346795735	0.567486650194846	0.494782120859765	-0.408167675889561	0.143220687342201	-0.0556010092586889	-0.12830553859377	0.551388363231762	0.352566666630872	0.279862137295791	-0.19882169660089	-0.271526225935971	-0.0727045293350814
"A2ML1"	0.557262627306531	0.0441537785434366	0.550711260678263	0.10711862061061	-1.69151092980732	-0.513108848763094	-0.00655136662826805	-0.450144006695921	-2.24877355711385	0.506557482134826	0.0629648420671735	-1.73566470835075	-0.443592640067653	-2.24222219048558	-1.79862955041793
"A4GALT"	0.403707726981459	0.0485607072943755	-0.167327667576771	0.240512925287984	-0.507833361586097	-0.355147019687084	-0.57103539455823	-0.163194801693475	-0.911541088567556	-0.215888374871147	0.191952217993609	-0.556394068880472	0.407840592864756	-0.340505694009326	-0.748346286874081
"AAAS"	-0.175778071111237	0.0406579603520762	-0.292130609198782	-0.394861846059164	-0.247501130947829	0.216436031463313	-0.116352538087545	-0.219083774947927	-0.0717230598365915	-0.332788569550858	-0.43551980641124	-0.288159091299905	-0.102731236860382	0.0446294782509533	0.147360715111336
"AACS"	-0.272503419769148	-0.0996326348680552	-0.659032863366498	-0.777513859623742	-0.229857717599517	0.172870784901093	-0.386529443597349	-0.505010439854593	0.0426457021696312	-0.559400228498442	-0.677881224755686	-0.130225082731462	-0.118480996257244	0.42917514576698	0.547656142024224
"AADAC"	1.06088054422227	0.508867939598483	0.495340726083452	1.0065061923821	0.446499445259917	-0.552012604623789	-0.565539818138819	-0.0543743518401736	-0.614381098962355	-0.0135272135150302	0.497638252783615	-0.0623684943385659	0.511165466298645	-0.0488412808235357	-0.560006747122181
"AADAT"	0.455196060319816	0.356285786068037	0.304101190931228	-0.308469280678873	0.450561894630891	-0.0989102742517798	-0.151094869388589	-0.76366534099869	-0.00463416568892538	-0.0521845951368089	-0.66475506674691	0.0942761085628544	-0.612570471610101	0.146460703699663	0.759031175309764
"AAED1"	-0.103042587467416	-0.0654891612503041	0.111872272154234	0.107552216359955	0.0330690407259359	0.0375534262171116	0.21491485962165	0.210594803827371	0.136111628193352	0.177361433404538	0.17304137761026	0.0985582019762401	-0.00432005579427874	-0.0788032314282982	-0.0744831756340194
"AAGAB"	-0.254712867872858	-0.164344410468492	-0.408908172741398	-0.200653820653857	-0.368829806927012	0.0903684574043661	-0.154195304868539	0.0540590472190008	-0.114116939054154	-0.244563762272906	-0.0363094101853652	-0.20448539645852	0.20825435208754	0.0400783658143853	-0.168175986273155
"AAK1"	-0.127018703128174	-0.0951120115888807	0.117721328888061	0.248982537304854	-0.234042245395224	0.0319066915392937	0.244740032016236	0.376001240433028	-0.10702354226705	0.212833340476942	0.344094548893735	-0.138930233806344	0.131261208416793	-0.351763574283285	-0.483024782700078
