"cell_genes"	"cell_type"	"k"
"SCGB3A2"	"Club"	"Cluster 1"
"CYP2B7P"	"Club"	"Cluster 1"
"MGP"	"Club"	"Cluster 1"
"RPLP2"	"Club"	"Cluster 1"
"RNASE1"	"Club"	"Cluster 1"
"SFTPB"	"Club"	"Cluster 1"
"CYB5A"	"Club"	"Cluster 1"
"VIM"	"Club"	"Cluster 1"
"HSD17B11"	"Club"	"Cluster 1"
"CTSE"	"Club"	"Cluster 1"
"C16orf89"	"Club"	"Cluster 1"
"RPL27A"	"Club"	"Cluster 1"
"RPL34"	"Club"	"Cluster 1"
"RPL26"	"Club"	"Cluster 1"
"RPS29"	"Club"	"Cluster 1"
"AADAC"	"Club"	"Cluster 1"
"SFTA1P"	"Club"	"Cluster 1"
"AGR3"	"Club"	"Cluster 1"
"KIAA1324"	"Club"	"Cluster 1"
"STEAP4"	"Club"	"Cluster 1"
"MET"	"Club"	"Cluster 1"
"S100A13"	"Club"	"Cluster 1"
"SLPI"	"Club"	"Cluster 1"
"FOLR1"	"Club"	"Cluster 1"
"FABP5"	"Club"	"Cluster 1"
"GDF15"	"Club"	"Cluster 1"
"ARHGDIB"	"Club"	"Cluster 1"
"CMAHP"	"Club"	"Cluster 1"
"SOX4"	"Club"	"Cluster 1"
"PTP4A1"	"Club"	"Cluster 1"
"FAM46A"	"Club"	"Cluster 1"
"RPL17"	"Club"	"Cluster 1"
"CD74"	"Club"	"Cluster 1"
"HLA-DRB5"	"Club"	"Cluster 1"
"JUND"	"Club"	"Cluster 1"
"HLA-DRB1"	"Club"	"Cluster 1"
"AREG"	"Club"	"Cluster 1"
"SDPR"	"Club"	"Cluster 1"
"XAGE2"	"Club"	"Cluster 1"
"TMEM190"	"Ciliated"	"Cluster 2"
"CAPS"	"Ciliated"	"Cluster 2"
"C9orf24"	"Ciliated"	"Cluster 2"
"C20orf85"	"Ciliated"	"Cluster 2"
"TPPP3"	"Ciliated"	"Cluster 2"
"FAM183A"	"Ciliated"	"Cluster 2"
"C1orf194"	"Ciliated"	"Cluster 2"
"RSPH1"	"Ciliated"	"Cluster 2"
"SNTN"	"Ciliated"	"Cluster 2"
"CETN2"	"Ciliated"	"Cluster 2"
"C11orf88"	"Ciliated"	"Cluster 2"
"PIFO"	"Ciliated"	"Cluster 2"
"ODF3B"	"Ciliated"	"Cluster 2"
"C9orf116"	"Ciliated"	"Cluster 2"
"C5orf49"	"Ciliated"	"Cluster 2"
"C2orf40"	"Ciliated"	"Cluster 2"
"LRRIQ1"	"Ciliated"	"Cluster 2"
"DYNLRB2"	"Ciliated"	"Cluster 2"
"ZMYND10"	"Ciliated"	"Cluster 2"
"CAPSL"	"Ciliated"	"Cluster 2"
"MORN2"	"Ciliated"	"Cluster 2"
"C12orf75"	"Ciliated"	"Cluster 2"
"MS4A8"	"Ciliated"	"Cluster 2"
"CCDC78"	"Ciliated"	"Cluster 2"
"CFAP126"	"Ciliated"	"Cluster 2"
"DYNLL1"	"Ciliated"	"Cluster 2"
"FAM92B"	"Ciliated"	"Cluster 2"
"CCDC146"	"Ciliated"	"Cluster 2"
"CCDC170"	"Ciliated"	"Cluster 2"
"PSENEN"	"Ciliated"	"Cluster 2"
