set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
A1BG	15	16	17	21	17	18	16	17	18	16	14	17	16	17	17	17	16	21	14
A1CF	13	NA	1	1	0	0	0	NA	0	0	NA	NA	NA	0	0	0	3	13	0
A2M	74	83	88	88	82	81	79	94	88	93	82	84	87	85	82	94	16	94	74
A2ML1	20	21	44	50	13	21	14	39	37	22	34	31	24	42	24	23	16	50	13
A4GALT	3	5	7	2	6	2	4	7	3	4	2	3	4	4	3	3	16	7	2
A4GNT	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	2	1	1
AAAS	17	15	15	13	12	15	15	16	13	16	13	12	14	12	14	14	16	17	12
AACS	22	30	29	29	23	27	23	22	23	31	25	24	21	26	26	25	16	31	21
AADAC	5	8	1	6	6	4	10	7	5	1	10	6	10	7	2	13	16	13	1
AADAT	5	2	4	5	4	4	5	5	5	5	5	5	5	3	5	6	16	6	2
AAED1	5	1	3	3	3	2	4	2	3	4	2	2	2	3	3	3	16	5	1
AAGAB	8	8	10	8	5	5	8	5	7	7	6	3	5	6	7	8	16	10	3
AAK1	34	32	38	41	35	36	36	38	39	39	41	39	37	40	38	39	16	41	32
AAMDC	6	5	5	4	5	5	3	4	6	4	6	7	4	3	7	5	16	7	3
AAMP	12	10	13	15	11	10	14	12	12	13	10	12	14	10	12	12	16	15	10
AAR2	13	14	14	14	11	13	11	9	12	16	11	11	11	12	13	11	16	16	9
AARS	82	76	86	90	79	79	79	81	80	76	79	76	71	84	78	81	16	90	71
AARS2	38	36	33	31	30	32	27	32	33	33	29	34	33	34	31	35	16	38	27
AARSD1	1	2	1	1	1	2	1	1	1	1	3	1	2	1	1	1	16	3	1
AASDH	4	3	6	5	3	12	2	4	5	3	5	9	6	12	5	8	16	12	2
AASDHPPT	13	13	15	14	12	11	14	12	13	13	11	10	12	12	14	14	16	15	10
AASS	38	42	45	43	37	42	37	46	48	42	40	43	38	42	37	36	16	48	36
AATF	25	24	24	24	22	21	24	22	23	22	22	20	26	23	24	24	16	26	20
AATK	NA	NA	1	NA	3	1	NA	2	NA	2	NA	NA	1	NA	NA	NA	6	3	1
ABAT	25	24	31	31	28	28	24	26	26	26	24	29	27	22	25	22	16	31	22
ABCA1	45	37	36	35	32	34	34	38	37	35	36	36	30	33	32	30	16	45	30
ABCA10	NA	1	1	1	3	NA	NA	NA	1	1	2	1	2	2	NA	1	11	3	1
ABCA12	9	6	2	5	2	8	1	7	8	3	7	2	7	6	4	8	16	9	1
ABCA13	2	2	3	8	7	2	1	2	NA	4	10	4	5	9	3	2	15	10	1
ABCA2	6	6	9	9	18	12	14	10	7	15	11	11	16	6	10	9	16	18	6
ABCA3	58	51	38	63	51	43	58	54	58	53	40	51	44	46	50	48	16	63	38
ABCA4	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	2	1
ABCA5	1	4	NA	3	3	1	5	3	1	2	2	2	4	6	6	1	15	6	1
ABCA6	17	17	12	13	15	16	19	17	19	14	14	14	10	14	12	19	16	19	10
ABCA7	9	8	5	9	4	8	4	8	6	10	10	3	9	7	5	5	16	10	3
ABCA8	20	21	14	26	23	18	23	22	21	15	18	14	15	12	14	18	16	26	12
ABCA9	2	0	0	1	0	0	2	3	2	0	0	0	0	0	0	4	6	4	0
ABCB1	6	18	5	7	6	8	8	9	9	5	5	7	5	7	23	8	16	23	5
ABCB10	14	12	17	13	14	12	17	13	17	11	13	13	15	15	16	17	16	17	11
ABCB4	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	5	1	0
ABCB5	NA	0	NA	2	NA	NA	NA	NA	0	1	NA	1	NA	1	2	0	5	2	0
ABCB6	24	22	19	16	17	15	17	18	16	16	13	15	17	9	14	13	16	24	9
ABCB7	17	17	19	19	15	18	17	15	16	16	22	17	14	16	17	14	16	22	14
ABCB8	15	20	16	15	15	18	20	16	13	16	14	15	16	16	15	18	16	20	13
ABCB9	1	2	2	3	1	1	1	1	2	1	4	6	1	1	2	2	16	6	1
ABCC1	48	44	52	43	47	49	49	50	41	45	46	39	51	43	44	52	16	52	39
ABCC10	9	9	9	9	11	9	9	7	10	11	10	13	9	11	13	12	16	13	7
ABCC11	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	1	5	1	1
ABCC2	6	23	6	6	0	2	2	NA	3	NA	11	NA	9	NA	NA	23	10	23	0
ABCC3	26	29	32	38	40	30	43	25	33	36	38	29	32	23	34	39	16	43	23
ABCC4	29	33	36	30	32	28	31	26	32	34	32	30	35	28	26	30	16	36	26
ABCC5	21	18	12	27	25	27	23	20	18	10	20	13	24	25	13	17	16	27	10
ABCC6	1	7	2	5	6	5	4	5	8	3	2	6	2	4	5	6	16	8	1
ABCC8	0	NA	NA	0	NA	1	NA	0	1	1	1	0	2	NA	NA	NA	5	2	0
ABCC9	10	8	7	11	9	5	9	10	11	8	5	7	6	7	5	8	16	11	5
ABCD1	24	20	25	23	22	23	22	20	23	22	20	22	23	20	18	23	16	25	18
ABCD2	0	1	0	1	2	3	0	1	1	1	1	2	2	2	1	4	13	4	0
ABCD3	28	26	28	23	24	24	27	22	26	28	29	23	26	26	19	25	16	29	19
ABCD4	12	11	8	9	7	9	10	10	7	6	9	9	9	10	8	10	16	12	6
ABCE1	39	35	44	47	40	38	39	39	41	43	38	40	37	37	37	39	16	47	35
ABCF1	48	53	55	55	45	42	43	45	42	50	44	45	50	48	45	49	16	55	42
ABCF2	33	30	39	36	31	27	28	35	29	33	34	32	35	34	33	39	16	39	27
ABCF3	31	34	30	35	32	32	34	33	34	29	35	34	36	33	29	36	16	36	29
ABCG1	6	5	5	5	5	3	4	4	6	5	4	3	4	4	4	6	16	6	3
ABCG2	2	3	1	2	3	4	NA	3	3	3	2	4	3	2	3	9	15	9	1
ABHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	3	1	1
ABHD10	16	17	18	18	16	17	15	17	14	17	17	16	17	16	17	16	16	18	14
ABHD11	12	11	13	14	12	13	11	11	13	16	14	13	10	12	12	14	16	16	10
ABHD12	17	17	18	19	17	16	19	21	17	19	16	20	15	16	18	18	16	21	15
ABHD13	4	8	4	8	5	7	6	5	5	6	5	5	3	5	5	5	16	8	3
ABHD14A	0	0	1	1	NA	0	0	NA	1	1	1	0	1	0	1	0	7	1	0
ABHD14B	10	10	11	11	9	10	10	10	12	11	11	12	10	9	10	10	16	12	9
ABHD15	5	5	3	3	6	4	4	5	5	4	5	3	4	4	5	4	16	6	3
ABHD16A	25	29	26	24	26	28	24	26	25	29	22	23	28	24	26	30	16	30	22
ABHD17A	4	7	5	8	3	3	2	5	3	6	5	7	4	6	4	3	16	8	2
ABHD17B	9	10	9	11	10	9	8	7	11	9	7	3	7	7	8	5	16	11	3
ABHD17C	8	7	6	8	8	7	8	9	6	8	8	6	9	10	9	6	16	10	6
ABHD18	2	NA	2	1	2	4	3	2	2	2	2	1	1	2	2	1	15	4	1
ABHD2	7	8	6	9	6	6	7	6	5	7	8	9	9	8	7	6	16	9	5
ABHD3	6	7	6	5	6	6	6	6	4	6	2	5	3	6	5	4	16	7	2
ABHD4	5	6	4	4	7	6	6	5	5	3	6	5	6	2	5	5	16	7	2
ABHD5	4	3	4	3	6	3	2	2	3	4	2	5	3	2	3	2	16	6	2
ABHD6	7	6	6	7	7	8	7	7	8	7	9	7	8	6	7	6	16	9	6
ABI1	15	14	14	15	15	15	14	14	15	13	14	15	12	14	14	15	16	15	12
ABI2	6	5	8	8	8	6	7	6	7	6	5	6	7	6	6	5	16	8	5
ABI3	8	10	11	14	9	11	8	14	9	9	9	11	9	11	12	12	16	14	8
ABI3BP	21	20	19	23	21	20	23	23	20	20	20	21	20	21	17	19	16	23	17
ABL1	21	19	18	18	17	19	16	21	17	24	20	22	19	19	22	21	16	24	16
ABL2	13	9	14	8	13	12	16	10	12	14	12	10	11	9	13	9	16	16	8
ABLIM1	33	32	36	29	37	31	34	34	34	28	29	29	36	28	32	32	16	37	28
ABLIM2	13	12	12	11	12	8	12	13	10	11	9	11	13	10	11	6	16	13	6
ABLIM3	12	9	9	8	10	8	13	10	11	8	9	9	6	7	7	11	16	13	6
ABO	3	5	6	6	2	2	4	2	2	4	2	5	3	1	6	2	16	6	1
ABR	41	45	45	44	38	43	43	39	46	45	46	41	40	36	39	39	16	46	36
ABRACL	4	4	5	5	3	4	4	4	4	4	4	4	4	4	5	4	16	5	3
ABRAXAS1	10	8	10	9	7	10	8	9	9	12	9	10	11	6	10	13	16	13	6
ABRAXAS2	19	14	15	19	15	17	17	18	18	20	17	18	21	17	21	20	16	21	14
ABT1	10	8	7	8	9	8	9	9	8	8	8	7	8	9	7	9	16	10	7
ABTB1	8	7	4	6	7	7	7	10	7	7	4	6	6	5	7	4	16	10	4
ABTB2	6	5	7	5	7	5	3	7	8	11	8	7	3	6	9	8	16	11	3
ACAA1	24	24	23	27	25	24	23	23	24	23	20	21	24	23	23	22	16	27	20
ACAA2	29	26	32	34	29	29	30	26	28	31	27	28	27	27	28	28	16	34	26
ACACA	95	97	96	90	90	96	99	94	97	109	107	91	101	89	92	95	16	109	89
ACACB	3	2	4	7	1	5	2	3	2	9	6	6	6	4	3	3	16	9	1
ACAD10	21	23	30	21	26	21	22	19	28	23	16	23	37	20	27	27	16	37	16
ACAD11	11	9	7	9	11	9	11	9	12	8	7	21	12	10	10	16	16	21	7
ACAD8	24	22	26	22	24	25	24	22	25	23	22	22	23	23	25	26	16	26	22
ACAD9	29	30	35	36	31	34	31	30	30	30	30	30	33	29	31	31	16	36	29
ACADL	14	9	8	10	10	7	12	13	14	11	10	9	5	10	9	8	16	14	5
ACADM	24	27	28	22	26	24	28	22	27	26	20	23	25	23	19	26	16	28	19
ACADS	19	22	27	25	18	25	26	20	21	27	25	24	21	20	22	25	16	27	18
ACADSB	21	20	21	22	21	20	19	21	20	21	19	21	19	21	23	19	16	23	19
ACADVL	45	44	44	48	42	45	46	44	48	45	46	44	48	46	48	48	16	48	42
ACAN	32	11	23	25	14	27	24	13	16	16	26	18	14	29	15	15	16	32	11
ACAP1	31	31	34	29	25	30	28	29	34	29	28	39	28	33	31	35	16	39	25
ACAP2	46	42	48	45	47	47	40	48	44	42	41	41	45	47	43	46	16	48	40
ACAP3	5	11	7	9	9	7	8	11	7	8	7	6	4	8	9	6	16	11	4
ACAT1	24	29	32	28	28	27	25	30	29	32	25	26	29	26	28	24	16	32	24
ACAT2	21	20	25	25	21	20	19	20	22	22	19	19	21	23	22	22	16	25	19
ACBD3	27	31	32	30	27	23	27	29	33	30	29	27	28	28	25	34	16	34	23
ACBD4	1	3	NA	2	1	1	NA	2	2	1	2	3	2	2	1	1	14	3	1
ACBD5	23	26	25	21	19	22	22	21	26	23	23	25	23	24	25	26	16	26	19
ACBD6	9	11	12	11	10	7	9	8	8	7	7	7	8	9	10	8	16	12	7
ACBD7	1	NA	2	2	NA	2	NA	NA	1	1	1	1	1	1	2	1	12	2	1
ACCS	1	2	2	2	3	2	3	1	2	NA	2	2	1	2	1	NA	14	3	1
ACD	3	5	5	4	2	2	4	NA	2	3	2	1	4	3	4	4	15	5	1
