Gene family	Family member	Chromosomal localization	CT identifier
MAGEA	MAGEA1	Xq28	CT1.1
MAGEA	MAGEA2	Xq28	CT1.2
MAGEA	MAGEA3	Xq28	CT1.3
MAGEA	MAGEA4	Xq28	CT1.4
MAGEA	MAGEA5	Xq28	CT1.5
MAGEA	MAGEA6	Xq28	CT1.6
MAGEA	MAGEA8	Xq28	CT1.8
MAGEA	MAGEA9	Xq28	CT1.9
MAGEA	MAGEA10	Xq28	CT1.10
MAGEA	MAGEA11	Xq28	CT1.11
MAGEA	MAGEA12	Xq28	CT1.12
BAGE	BAGE	21p11.1	CT2.1
BAGE	BAGE2	21p11.1	CT2.2
BAGE	BAGE3	21p11.1	CT2.3
BAGE	BAGE4	21p11.1	CT2.4
BAGE	BAGE5	21p11.1	CT2.5
MAGEB	MAGEB1	Xp21.3	CT3.1
MAGEB	MAGEB2	Xp21.3	CT3.2
MAGEB	MAGEB5	Xp21.3	CT3.3
MAGEB	MAGEB6	Xp21.3	CT3.4
MAGEB	MAGEB3	Xp21.3	CT3.5
MAGEB	MAGEB4	Xp21.3	CT3.6
GAGE	GAGE1	Xp11.4-p11.2	CT4.1
GAGE	GAGE2A	Xp11.23	CT4.2
GAGE	GAGE3	Xp11.23	CT4.3
GAGE	GAGE4	Xp11.4-p11.2	CT4.4
GAGE	GAGE5	Xp11.4-p11.2	CT4.5
GAGE	GAGE6	Xp11.4-p11.2	CT4.6
GAGE	GAGE7	Xp11.4-p11.2	CT4.7
GAGE	GAGE8	Xp11.23	CT4.8
SSX	SSX1	Xp11.23-p11.22	CT5.1
SSX	SSX2	Xp11.22	CT5.2a
SSX	SSX2b	Xp11.22	CT5.2b
SSX	SSX3	Xp11.23	CT5.3
SSX	SSX4	Xp11.23	CT5.4
NY-ESO-1	CTAG1B	Xq28	CT6.1
NY-ESO-1	LAGE-1b	Xq28	CT6.2b
NY-ESO-1	CTAG2	Xq28	CT6.2a
MAGEC1	MAGEC1	Xq26	CT7.1
MAGEC1	MAGEC3	Xq27.2	CT7.2
SYCP1	SYCP1	1p13-p12	CT8
BRDT	BRDT	1p22.1	CT9
MAGEC2	MAGEC2	Xq27	CT10
SPANX	SPANXA1	Xq27.1	CT11.1
SPANX	SPANXB1	Xq27.1	CT11.2
SPANX	SPANXC	Xq27.1	CT11.3
SPANX	SPANXD	Xq27.1	CT11.4
SPANX	SPANXN1	Xq27	CT11.6
SPANX	SPANXN2	Xq27.3	CT11.7
SPANX	SPANXN3	Xq27.3	CT11.8
SPANX	SPANXN4	Xq27.3	CT11.9
SPANX	SPANXN5	Xp11.22	CT11.10
XAGE	XAGE1D	Xp11.22	CT12.1d
XAGE	XAGE1C	Xp11.22	CT12.1c
XAGE	XAGE1B	Xp11.22	CT12.1b
XAGE	XAGE1	Xp11.22	CT12.1a
XAGE	XAGE2	Xp11.22	CT12.2
XAGE	XAGE3	Xp11.22-p11.21	CT12.3a
XAGE	XAGE-3b	Xp11.22	CT12.3b
XAGE	XAGE-4/RP11-167P23.2	Xp11.21	CT12.4
XAGE	XAGE5	Xp11.22	CT12.5
HAGE	DDX43	6q12-q13	CT13
SAGE	SAGE1	Xq26	CT14
ADAM2	ADAM2	8p11.2	CT15
PAGE-5	PAGE5	Xp11.21	CT16.1
PAGE-5	CT16.2	X911.21	CT16.2
PAGE-5	PAGE1	Xp11.23	CT16.3
PAGE-5	PAGE2	Xp11.21	CT16.4
PAGE-5	PAGE2B	Xp11.21	CT16.5
PAGE-5	PAGE3	Xp11.21	CT16.6
PAGE-5	PAGE4	Xp11.23	CT16.7
LIPI	LIPI	21q11.2	CT17
NA88A pseudogene	VENTXP1	Xp21.3	CT18
IL13RA	IL13RA2	Xq13.1-q28	CT19
TSP50	TSP50	3p14-p12	CT20
CTAGE-1	CTAGE1	18p11.2	CT21.1
CTAGE-1	CTAGE-2	18p11.2	CT21.2
CTAGE-1	CTAGE5	14q13.3	CT21.3
SPA17	SPA17	11q24.2	CT22
ACRBP	ACRBP	12p13.31	CT23
CSAGE	CSAG1	Xq28	CT24.1
CSAGE	CSAG2	Xq28	CT24.2
MMA1	DSCR8	21q22.2	CT25.1a
MMA1	MMA1b	21q22.2	CT25.1b
CAGE	DDX53	Xp22.11	CT26
BORIS	CTCFL	20q13.31	CT27
HOM-TES-85	LUZP4	Xq23	CT28
AF15q14	CASC5	15q14	CT29
HCA661	TFDP3	Xq26.2	CT30
JARID1B	JARID1B	1q32.1	CT31
LDHC	LDHC	11p15.5-p15.3	CT32
MORC	MORC1	3q13	CT33
SGY-1	DKKL1	19q13.33	CT34
SPO11	SPO11	20q13.2-q13.3	CT35
TPX1	CRISP2	6p21-qter	CT36
NY-SAR-35	FMR1NB	Xq27.3-q28	CT37
FTHL17	FTHL17	Xp21	CT38
NXF2	NXF2	Xq22.1	CT39
TAF7L	TAF7L	Xq22.1	CT40
TDRD1	TDRD1	10q25.3	CT41.1
